Admission,ಅಡ್ಮಿಶನ್/ ಪ್ರವೇಶ,,"Convenience of the admission process (Staff response, Time taken, Information etc.)","ಅಡ್ಮಿಶನ್ ಪ್ರಕ್ರಿಯೆಯ ಅನುಕೂಲತೆ (ಸಿಬ್ಬಂದಿ ವರ್ತನೆ, ತೆಗೆದುಕೊಂಡ ಸಮಯ, ಮಾಹಿತಿ ಇತ್ಯಾದಿ)",,Admission process
Admission,ಅಡ್ಮಿಶನ್/ ಪ್ರವೇಶ,,Time taken for admission,ಅಡ್ಮಿಶನ್ ಪ್ರಕ್ರಿಯೆಗೆ ತೆಗೆದುಕೊಂಡ ಸಮಯ,,Admission duration
Admission,ಅಡ್ಮಿಶನ್/ ಪ್ರವೇಶ,,Admission staff response,ಅಡ್ಮಿಶನ್ ಸಿಬ್ಬಂದಿ ಪ್ರತಿಕ್ರಿಯೆ,,Admission staff response
Admission,ಅಡ್ಮಿಶನ್/ ಪ್ರವೇಶ,,Proper information on wards/services,ವಾರ್ಡ್/ಸೇವೆಗಳ ಬಗ್ಗೆ ಸರಿಯಾದ ಮಾಹಿತಿ,,Services information
Admission,ಅಡ್ಮಿಶನ್/ ಪ್ರವೇಶ,,Clarity on treatment cost & estimations,ಚಿಕಿತ್ಸೆಯ ವೆಚ್ಚ ಮತ್ತು ಅಂದಾಜುಗಳ ಸ್ಪಷ್ಟತೆ,,Cost explanation
Admission,ಅಡ್ಮಿಶನ್/ ಪ್ರವೇಶ,,Other admission issues,"ಇತರ ಅಡ್ಮಿಶನ್ ಸಮಸ್ಯೆಗಳು 
",,Other admission issues
Nursing,ನರ್ಸಿಂಗ್,,"Satisfaction with nursing services (Staff response, Timely medication, Skill, Hygiene etc.)","ನರ್ಸಿಂಗ್ ಸೇವೆಗಳಲ್ಲಿ ತೃಪ್ತಿ (ಸಿಬ್ಬಂದಿ ವರ್ತನೆ, ಪ್ರತಿಕ್ರಿಯೆ, ಸಕಾಲಿಕ ಔಷಧಿ, ಕೌಶಲ್ಯ, ನೈರ್ಮಲ್ಯ ಇತ್ಯಾದಿ)",,Nursing services
Nursing,ನರ್ಸಿಂಗ್,,Courtesy and care of the nursing staff,ನರ್ಸಿಂಗ್ ಸಿಬ್ಬಂದಿಯ ಸೌಜನ್ಯ ಮತ್ತು ಕಾಳಜಿ,,Nurses courtesy
Nursing,ನರ್ಸಿಂಗ್,,Competency in nursing care,ನರ್ಸಿಂಗ್ ಆರೈಕೆಯಲ್ಲಿ ಸಾಮರ್ಥ್ಯ,,Nursing competency
Nursing,ನರ್ಸಿಂಗ್,,Communication regarding patient movement for procedures/tests,ಕಾರ್ಯವಿಧಾನಗಳು/ಪರೀಕ್ಷೆಗಳಿಗಾಗಿ ರೋಗಿಯ ಚಲನೆಯ ಬಗ್ಗೆ ಸಂವಹನ,,Nurses communication
Nursing,ನರ್ಸಿಂಗ್,,Nursing staff response to call bell,ಕರೆ ಬೆಲ್‌ಗೆ ನರ್ಸಿಂಗ್ ಸಿಬ್ಬಂದಿ ಪ್ರತಿಕ್ರಿಯೆ,,Nurses response
Nursing,ನರ್ಸಿಂಗ್,,Timely administration of medicines,ಔಷಧಿಗಳ ಸಮಯೋಚಿತ ಆಡಳಿತ,,Timely medicines
Nursing,ನರ್ಸಿಂಗ್,,Efficiency in pain management,ನೋವು ನಿರ್ವಹಣೆಯಲ್ಲಿ ದಕ್ಷತೆ,,Pain management
Nursing,ನರ್ಸಿಂಗ್,,Compliance with hygiene standards,ನೈರ್ಮಲ್ಯ ಮಾನದಂಡಗಳ ಅನುಸರಣೆ,,Nurses hygeine
Nursing,ನರ್ಸಿಂಗ್,,Other nursing issues,ಇತರ ನರ್ಸಿಂಗ್ ಸಮಸ್ಯೆಗಳು,,Other nursing issues
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,"Quality of care provided by doctors (Doctor's response, Timely rounds, Communication etc.)","ವೈದ್ಯರು ಒದಗಿಸಿದ ಆರೈಕೆಯ ಗುಣಮಟ್ಟ (ವೈದ್ಯರ ಪ್ರತಿಕ್ರಿಯೆ, ಸಮಯೋಚಿತ ಸುತ್ತುಗಳು, ಸಂವಹನ ಇತ್ಯಾದಿ)",,Doctor experience
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Doctor's response to queries,ಪ್ರಶ್ನೆಗಳಿಗೆ ವೈದ್ಯರ ಪ್ರತಿಕ್ರಿಯೆ,,Doctors response
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Time spent by doctor during the rounds,ಸುತ್ತಿನ ಸಮಯದಲ್ಲಿ ವೈದ್ಯರು ಕಳೆದ ಸಮಯ,,Time spent on rounds
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Privacy/confidentiality not maintained,ಗೌಪ್ಯತೆಯನ್ನು ಕಾಯ್ದುಕೊಳ್ಳಲಾಗಿಲ್ಲ,,Privacy and confidentiality
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Discharge advice and post-care not explained properly,ಡಿಸ್ಚಾರ್ಜ್ ಸಲಹೆ ಮತ್ತು ನಂತರದ ಆರೈಕೆಯನ್ನು ಸರಿಯಾಗಿ ವಿವರಿಸಲಾಗಿಲ್ಲ,,Post-discharge care explanation
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Other doctor consultation issues,ಇತರ ವೈದ್ಯರ ಸಮಾಲೋಚನೆ ಸಮಸ್ಯೆಗಳು,,Other doctor consultation issues
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಶುಚಿತ್ವ,,"Housekeeping & cleaning services (Staff response, Cleaning frequency, Quality etc)","ಹೌಸ್ ಕೀಪಿಂಗ್ ಮತ್ತು ಸ್ವಚ್ಛತಾ ಸೇವೆಗಳು (ಸಿಬ್ಬಂದಿ ಪ್ರತಿಕ್ರಿಯೆ, ಶುಚಿಗೊಳಿಸುವ ಆವರ್ತನ, ಗುಣಮಟ್ಟ ಇತ್ಯಾದಿ)",,Housekeeping services
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಶುಚಿತ್ವ,,Housekeeping staff response,ಸ್ವಚ್ಛತಾ ಸಿಬ್ಬಂದಿ ಪ್ರತಿಕ್ರಿಯೆ,,Housekeeping staff response
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಶುಚಿತ್ವ,,Cleaning schedule and frequency,ಶುಚಿಗೊಳಿಸುವ ವೇಳಾಪಟ್ಟಿ ಮತ್ತು ಆವರ್ತನ,,Cleaning frequency
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಶುಚಿತ್ವ,,Quality of cleaning services,ಸ್ವಚ್ಛತಾ ಸೇವೆಗಳ ಗುಣಮಟ್ಟ,,Cleaning quality
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಶುಚಿತ್ವ,,"Unhappy with support for daily activities (bathing, toileting, changing clothes).","ದೈನಂದಿನ ಚಟುವಟಿಕೆಗಳಿಗೆ (ಸ್ನಾನ, ಶೌಚಾಲಯ, ಬಟ್ಟೆ ಬದಲಾಯಿಸುವುದು) ಬೆಂಬಲ ಸಿಗುವುದರಿಂದ ಅತೃಪ್ತಿ",,Support with daily activities
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಶುಚಿತ್ವ,,Other housekeeping issues,ಇತರ ಸ್ವಚ್ಛತಾ ಸೇವೆಗಳ ಸಮಸ್ಯೆಗಳು,,Other housekeeping issues
