Appointment Booking,ಅಪಾಯಿಂಟ್ಮೆಂಟ್ ಬುಕಿಂಗ್,,"Appointment booking process (Call centre response, Helpfulness etc.)","ಅಪಾಯಿಂಟ್ಮೆಂಟ್ ಬುಕಿಂಗ್ ಪ್ರಕ್ರಿಯೆ (ಕಾಲ್ ಸೆಂಟರ್ ಪ್ರತಿಕ್ರಿಯೆ, ಸಹಾಯ, ಇತ್ಯಾದಿ)",,Appointment booking
Appointment Booking,ಅಪಾಯಿಂಟ್ಮೆಂಟ್ ಬುಕಿಂಗ್,,Ease of booking appointments,ಅಪಾಯಿಂಟ್ಮೆಂಟ್ ಕಾಯ್ದಿರಿಸುವ ಸುಲಭತೆ,,Ease of booking
Appointment Booking,ಅಪಾಯಿಂಟ್ಮೆಂಟ್ ಬುಕಿಂಗ್,,Booking appointments via call to hospital,ಆಸ್ಪತ್ರೆಗೆ ಕರೆಯ ಮೂಲಕ ಅಪಾಯಿಂಟ್‌ಮೆಂಟ್‌ಗಳನ್ನು ಕಾಯ್ದಿರಿಸುವುದು,,Call booking
Appointment Booking,ಅಪಾಯಿಂಟ್ಮೆಂಟ್ ಬುಕಿಂಗ್,,"Response, courtesy and helpfulness of the executive","ಕಾರ್ಯನಿರ್ವಾಹಕರ ಪ್ರತಿಕ್ರಿಯೆ, ಸೌಜನ್ಯ ಮತ್ತು ಸಹಾಯ",,Staff response
Appointment Booking,ಅಪಾಯಿಂಟ್ಮೆಂಟ್ ಬುಕಿಂಗ್,,Other appointment issues,ಇತರ ಅಪಾಯಿಂಟ್ಮೆಂಟ್ ಸಮಸ್ಯೆಗಳು,,Other appointment issues
Registration & Reception,ನೋಂದಣಿ ಅನುಭವ,,"Registration experience (Efficiency, Staff response, Time taken etc.)","ನೋಂದಣಿ ಅನುಭವ (ದಕ್ಷತೆ, ಸಿಬ್ಬಂದಿ ಪ್ರತಿಕ್ರಿಯೆ, ತೆಗೆದುಕೊಂಡ ಸಮಯ ಇತ್ಯಾದಿ)",,Registration experience
Registration & Reception,ನೋಂದಣಿ ಅನುಭವ,,Efficiency of the registration process,ನೋಂದಣಿ ಪ್ರಕ್ರಿಯೆಯ ದಕ್ಷತೆ,,Registration efficiency
Registration & Reception,ನೋಂದಣಿ ಅನುಭವ,,Response of the front desk executives,ಫ್ರಂಟ್ ಆಫೀಸ್ ಕಾರ್ಯನಿರ್ವಾಹಕರ ಪ್ರತಿಕ್ರಿಯೆ,,Front desk response
Registration & Reception,ನೋಂದಣಿ ಅನುಭವ,,Time taken for the registration process,ನೋಂದಣಿ ಪ್ರಕ್ರಿಯೆಗೆ ತೆಗೆದುಕೊಂಡ ಸಮಯ,,Time for registration
Registration & Reception,ನೋಂದಣಿ ಅನುಭವ,,Other registration issues,ಇತರ ನೋಂದಣಿ ಸಮಸ್ಯೆಗಳು,,Other registration issues
Billing,ಬಿಲ್ಲಿಂಗ್,,"Billing experience (Response, Process, Time taken etc.)","ಬಿಲ್ಲಿಂಗ್ ಅನುಭವ (ಪ್ರತಿಕ್ರಿಯೆ, ಪ್ರಕ್ರಿಯೆ, ತೆಗೆದುಕೊಂಡ ಸಮಯ ಇತ್ಯಾದಿ)",,Billing experience
Billing,ಬಿಲ್ಲಿಂಗ್,,Response to billing queries,ಬಿಲ್ಲಿಂಗ್ ಪ್ರಶ್ನೆಗಳಿಗೆ ಪ್ರತಿಕ್ರಿಯೆ,,Billing response
Billing,ಬಿಲ್ಲಿಂಗ್,,Billing process,ಬಿಲ್ಲಿಂಗ್ ಪ್ರಕ್ರಿಯೆ,,Billing process
Billing,ಬಿಲ್ಲಿಂಗ್,,Time taken for billing,ಬಿಲ್ಲಿಂಗ್‌ಗೆ ತೆಗೆದುಕೊಂಡ ಸಮಯ,,Billing time
Billing,ಬಿಲ್ಲಿಂಗ್,,Other billing issues,ಇತರ ಬಿಲ್ಲಿಂಗ್ ಸಮಸ್ಯೆಗಳು,,Other billing issues
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,"Doctor consultation experience (Response, Communication, Waiting time etc.)","ವೈದ್ಯರ ಅನುಭವ (ಪ್ರತಿಕ್ರಿಯೆ, ಸಂವಹನ, ಕಾಯುವ ಸಮಯ ಇತ್ಯಾದಿ)",,Doctor experience
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Doctor's communication about condition & treatment,ಸ್ಥಿತಿ ಮತ್ತು ಚಿಕಿತ್ಸೆಯ ಬಗ್ಗೆ ವೈದ್ಯರ ಸಂವಹನ,,Doctors communication
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Doctor's response,ವೈದ್ಯರ ಪ್ರತಿಕ್ರಿಯೆ,,Doctors response
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Waiting time for consultation,ಸಮಾಲೋಚನೆಗಾಗಿ ಕಾಯುವ ಸಮಯ,,Consultant wait time
Doctor Consultation,ವೈದ್ಯರ ಸಮಾಲೋಚನೆ,,Other doctor consultation issues,ಇತರ ವೈದ್ಯರ ಸಮಾಲೋಚನೆ ಸಮಸ್ಯೆಗಳು,,Other doctor consultation issues
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಸ್ವಚ್ಛತೆ,,"Housekeeping & cleaning services (Staff response, Quality etc)","ಹೌಸ್ ಕೀಪಿಂಗ್ ಮತ್ತು ಶುಚಿಗೊಳಿಸುವ ಸೇವೆಗಳು (ಸಿಬ್ಬಂದಿ ಪ್ರತಿಕ್ರಿಯೆ, ಗುಣಮಟ್ಟ ಇತ್ಯಾದಿ)",,Housekeeping
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಸ್ವಚ್ಛತೆ,,Cleanliness of waiting and consultation areas,ಕಾಯುವ ಮತ್ತು ಸಮಾಲೋಚನೆ ಪ್ರದೇಶಗಳ ಶುಚಿತ್ವ,,Waiting/consultation area cleanliness
Housekeeping/Cleanliness,ಹೌಸ್ ಕೀಪಿಂಗ್/ಸ್ವಚ್ಛತೆ,,Cleanliness of washrooms,ಶೌಚಾಲಯಗಳ ಶುಚಿತ್ವ,,Washroom cleanliness
